Date,Date
A2334354A,All sectors ;  Gross fixed capital formation: Chain Volume Measures - Revisions to Percentage Changes ;
A2334355C,All sectors ;  STATE FINAL DEMAND: Chain Volume Measures - Revisions to Percentage Changes ;
A2334356F,All sectors ;  International trade - exports of goods: Chain Volume Measures - Revisions to Percentage Changes ;
A2334357J,All sectors ;  International trade - imports of goods: Chain Volume Measures - Revisions to Percentage Changes ;
A2334358K,All sectors ;  International trade - exports of services: Chain Volume Measures - Revisions to Percentage Changes ;
A2334359L,All sectors ;  International trade - imports of services: Chain Volume Measures - Revisions to Percentage Changes ;
A2334360W,All sectors ;  GROSS STATE PRODUCT: Chain Volume Measures - Revisions to Percentage Changes ;
A2715263F,"Agriculture, forestry and fishing (A) ;  Total factor income: Current Prices - Revisions ;"
A2715264J,Mining (B) ;  Total factor income: Current Prices - Revisions ;
A2715265K,Manufacturing (C) ;  Total factor income: Current Prices - Revisions ;
A2715266L,"Electricity, gas, water and waste services (D) ;  Total factor income: Current Prices - Revisions ;"
A2715267R,Construction (E) ;  Total factor income: Current Prices - Revisions ;
A2715268T,Wholesale trade (F) ;  Total factor income: Current Prices - Revisions ;
A2715269V,Retail trade (G) ;  Total factor income: Current Prices - Revisions ;
A2715270C,Accommodation and food services (H) ;  Total factor income: Current Prices - Revisions ;
A2715271F,"Transport, postal and warehousing (I) ;  Total factor income: Current Prices - Revisions ;"
A2715272J,Information media and telecommunications (J) ;  Total factor income: Current Prices - Revisions ;
A2715273K,Financial and insurance services (K) ;  Total factor income: Current Prices - Revisions ;
A2715274L,"Rental, hiring and real estate services (L) ;  Total factor income: Current Prices - Revisions ;"
A2715275R,"Professional, scientific and technical services (M) ;  Total factor income: Current Prices - Revisions ;"
A2715276T,Administrative and support services (N) ;  Total factor income: Current Prices - Revisions ;
A2715277V,Public administration and safety (O) ;  Total factor income: Current Prices - Revisions ;
A2715278W,Education and training (P) ;  Total factor income: Current Prices - Revisions ;
A2715279X,Health care and social assistance (Q) ;  Total factor income: Current Prices - Revisions ;
A2715280J,Arts and recreation services (R) ;  Total factor income: Current Prices - Revisions ;
A2715281K,Other services (S) ;  Total factor income: Current Prices - Revisions ;
A2334228L,Ownership of dwellings ;  Gross operating surplus and gross mixed income: Current Prices - Revisions ;
A2334230X,Total all industries ;  Total factor income: Current Prices - Revisions ;
A2715776L,"Agriculture, forestry and fishing (A) ;  Industry gross value added: Chain volume measures ;"
A2715038K,Mining (B) ;  Industry gross value added: Chain volume measures ;
A2715039L,Manufacturing (C) ;  Industry gross value added: Chain volume measures ;
A2715040W,"Electricity, gas, water and waste services (D) ;  Industry gross value added: Chain volume measures ;"
A2715041X,Construction (E) ;  Industry gross value added: Chain volume measures ;
A2715042A,Wholesale trade (F) ;  Industry gross value added: Chain volume measures ;
A2715043C,Retail trade (G) ;  Industry gross value added: Chain volume measures ;
A2715044F,Accommodation and food services (H) ;  Industry gross value added: Chain volume measures ;
A2715045J,"Transport, postal and warehousing (I) ;  Industry gross value added: Chain volume measures ;"
A2715046K,Information media and telecommunications (J) ;  Industry gross value added: Chain volume measures ;
A2715047L,Financial and insurance services (K) ;  Industry gross value added: Chain volume measures ;
A2715048R,"Rental, hiring and real estate services (L) ;  Industry gross value added: Chain volume measures ;"
A2715049T,"Professional, scientific and technical services (M) ;  Industry gross value added: Chain volume measures ;"
A2715050A,Administrative and support services (N) ;  Industry gross value added: Chain volume measures ;
A2715051C,Public administration and safety (O) ;  Industry gross value added: Chain volume measures ;
A2715052F,Education and training (P) ;  Industry gross value added: Chain volume measures ;
A2715053J,Health care and social assistance (Q) ;  Industry gross value added: Chain volume measures ;
A2715054K,Arts and recreation services (R) ;  Industry gross value added: Chain volume measures ;
A2715055L,Other services (S) ;  Industry gross value added: Chain volume measures ;
A2529306J,Ownership of dwellings ;  Industry gross value added: Chain volume measures ;
A2478272L,Total all industries ;  Industry gross value added: Chain volume measures ;
A2478273R,Total all industries ;  Industry gross value added - Taxes less subsidies on products: Chain volume measures ;
A2478274T,Total all industries ;  Industry gross value added - Statistical Discrepancy (P): Chain volume measures ;
A2478275V,Total all industries ;  Gross state product: Chain volume measures ;
A2714932K,"Agriculture, forestry and fishing (A) ;  Industry gross value added: Chain volume measures - Percentage changes ;"
A2714933L,Mining (B) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714934R,Manufacturing (C) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714935T,"Electricity, gas, water and waste services (D) ;  Industry gross value added: Chain volume measures - Percentage changes ;"
A2714936V,Construction (E) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714937W,Wholesale trade (F) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714938X,Retail trade (G) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714939A,Accommodation and food services (H) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714940K,"Transport, postal and warehousing (I) ;  Industry gross value added: Chain volume measures - Percentage changes ;"
A2714941L,Information media and telecommunications (J) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714942R,Financial and insurance services (K) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714943T,"Rental, hiring and real estate services (L) ;  Industry gross value added: Chain volume measures - Percentage changes ;"
A2714944V,"Professional, scientific and technical services (M) ;  Industry gross value added: Chain volume measures - Percentage changes ;"
A2714945W,Administrative and support services (N) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714946X,Public administration and safety (O) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714947A,Education and training (P) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714948C,Health care and social assistance (Q) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714949F,Arts and recreation services (R) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2714950R,Other services (S) ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2529307K,Ownership of dwellings ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2478294A,Total all industries ;  Industry gross value added: Chain volume measures - Percentage changes ;
A2478295C,Total all industries ;  Industry gross value added - Taxes less subsidies on products: Chain volume measures - Percentage changes ;
A2478296F,Total all industries ;  Gross state product: Chain volume measures - Percentage changes ;
A2715605V,"Agriculture, forestry and fishing (A) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;"
A2715606W,Mining (B) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715607X,Manufacturing (C) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715608A,"Electricity, gas, water and waste services (D) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;"
A2715609C,Construction (E) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715610L,Wholesale trade (F) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715611R,Retail trade (G) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715612T,Accommodation and food services (H) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715613V,"Transport, postal and warehousing (I) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;"
A2715614W,Information media and telecommunications (J) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715615X,Financial and insurance services (K) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715616A,"Rental, hiring and real estate services (L) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;"
A2715617C,"Professional, scientific and technical services (M) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;"
A2715618F,Administrative and support services (N) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715619J,Public administration and safety (O) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715620T,Education and training (P) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715621V,Health care and social assistance (Q) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715622W,Arts and recreation services (R) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2715623X,Other services (S) ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2529246T,Ownership of dwellings ;  Industry gross value added: Contributions to Growth  - Chain volume measures ;
A2478087K,Total all industries ;  Industry gross value added - Taxes less subsidies on products: Contributions to Growth  - Chain volume measures ;
A2478088L,Total all industries ;  Industry gross value added - Statistical Discrepancy (P): Contributions to Growth  - Chain volume measures ;
A2478089R,Total all industries ;  Gross state product: Contributions to Growth  - Chain volume measures ;
A2714323C,"Agriculture, forestry and fishing (A) ;  Industry gross value added: Current prices ;"
A2714327L,Mining (B) ;  Industry gross value added: Current prices ;
A2714331C,Manufacturing (C) ;  Industry gross value added: Current prices ;
A2714335L,"Electricity, gas, water and waste services (D) ;  Industry gross value added: Current prices ;"
A2714339W,Construction (E) ;  Industry gross value added: Current prices ;
A2714343L,Wholesale trade (F) ;  Industry gross value added: Current prices ;
A2714347W,Retail trade (G) ;  Industry gross value added: Current prices ;
A2714351L,Accommodation and food services (H) ;  Industry gross value added: Current prices ;
A2714355W,"Transport, postal and warehousing (I) ;  Industry gross value added: Current prices ;"
A2714359F,Information media and telecommunications (J) ;  Industry gross value added: Current prices ;
A2714363W,Financial and insurance services (K) ;  Industry gross value added: Current prices ;
A2714367F,"Rental, hiring and real estate services (L) ;  Industry gross value added: Current prices ;"
A2714371W,"Professional, scientific and technical services (M) ;  Industry gross value added: Current prices ;"
A2714375F,Administrative and support services (N) ;  Industry gross value added: Current prices ;
A2714379R,Public administration and safety (O) ;  Industry gross value added: Current prices ;
A2714383F,Education and training (P) ;  Industry gross value added: Current prices ;
A2714387R,Health care and social assistance (Q) ;  Industry gross value added: Current prices ;
